코스명,강남강북구분,거리,소요시간,코스레벨,상세코스,설명,,,,,
마포한강길,강북권,13.07Km,4시간,초급,난지물재생센터 인근~한강수변 인근~패쇄형늪지 인근~난지한강공원 인근~상암선착장 인근~망원초록길 인근~한강시민공원망원지구 인근~강변북로 인근~서강대교 강변북로 인근~마포대교 인근,난지한강공원과 한강시민공원 망원지구를 가로지르는 걷기 좋은 한강 코스. ,,,,,
망월천길,강남권,3.98Km,1시간 30분,초급,공동주택 인근~강동중학교 인근~강일리버파크2단지 인근~강일리버파크1단지 인근,강동구와 하남시를 통과하는 하천길로 주변 아파트 주민들이 산책길로 이용한다 ※공동주택 이전 동쪽방향 구간은 도보가 불가능하다,,,,,
목감천,강남권,3.71Km,1시간,초급,목감천공영무료주차장 인근~개봉3동주민센터 인근~개명초등학교 인근~광일초등학교 인근,안양천과 합쳐지는 작은 하천으로 인근 주민들과 자전거를 즐기는 사람들이 찾는 코스이다,,,,,
묵동천길,강북권,3.96Km,1시간30분,초급,한국아파트 인근~브라운스톤태릉아파트 인근~태릉고등학교 인근~중랑소방서 인근~서울메디컬타워 인근~육사아파트 인근~육사체육관 인근,노원구와 중랑구를 통과하는 하천길로 지하철역과 주변 아파트로 인해 접근성이 좋아 인근 주민들이 많이 이용한다,,,,,
반포천,강남권,2.57Km,1시간,초급,동작역 인근~구반포역 인근~반포주공아파트 인근~반포종합운동장 인근~고속터미널역 인근,"교통편이 좋아 접근성이 좋고, 인근 아파트 단지가 밀집되어 있어 사람들이 산책하는 코스로 많이 이용되고 있다",,,,,
방학천길,강북권,1.89Km,40분,초급,벽산1차아파트 인근~제일시장 인근~정병원빌딩 인근~동아엔지니어링 인근,북한산에서 흘러 내려와서 중랑천으로 합쳐지는 하천으로 산책로 코스임,,,,,
불광천길,강북권,4.43Km,2시간,초급,응암역 인근~세절역 인근~중산역 인근~디지털미디어시티역 인근~월드컵경기장역 인근~마포구청역 인근,도심에서 만난 불광천이 한강에 닿을 때까지 함께 걷는 길,,,,,
성내천길,강남권,5.49Km,2시간,초급,아산병원 인근~풍납중학교 인근~몽촌토성 인근~올림픽수영장 인근~오륜주민센터 인근~오륜사거리 인근~아남아파트 인근,"몽촌토성, 올림픽공원이라는 문화시설과 지하철, 버스 등 접근성이 뛰어나다",,,,,
성동광진구한강길,강북권,12.84Km,4시간,초급,"옥수역 인근~서울숲 인근~영동대교 인근~뚝섬유원지 인근~뚝섬유원지, 잠실대교 인근~동서울터미널 인근~올림픽대교, 강변북로 인근~쉐라톤워커힐호텔 인근",서울숲과 뚝섬한강공원을 경유하며 한강변을 따라 걷는 코스.,,,,, 
성북천길,강북권,3.62Km,1시간,초급,안암동주민센터 인근~우진 밧데리 인근~성북교통정보센터 인근~동소문로2길 인근,서울의 북악산의 동쪽에서 발원하여 남쪽으로 흘러 동대문구 신설동에서 청계천과 합류,,,,,
세곡천,강남권,3.70Km,1시간,초급,삼일자동차운전전문학원 인근~대왕초등학교 인근~세곡리엔파크1단지 인근~강남세곡LH푸르지오~헌인릉 인근,"하천 폭은 좁지만, 산책길 정비로 인근 거주자들이 많이 이용한다",,,,,
송파강동한강길,강남권,17.98Km,5시간40분,초급,잠실한강공원 인근~잠실대교 인근~한강공원광나루지구 인근~광나루자전거공원 인근~암사동선사주거지 인근~고덕천 인근~춘천고속도로 인근,봉화산 기슭에서 발원하여 중랑천 월릉교 부근으로 흘러들어가는 하천. ,,,,,
안양천길,강남권,15.57Km,4시간30분,초급,백골부대전적비 인근~목마공원 인근~목동종합운동장 인근~오목교 인근~오금사거리 인근~어린이교통공원 인근~구일역 인근~광명시청 인근~광명시청 인근~가산디지털단지 인근~독산역 인근~석수역 인근,"공원조성이 잘되어있고, 인근 주거지역이 많아 주민들이 산책하는 길로 많이 이용한다. ",,,,,
양재천,강남권,9.53Km,3시간,초급,학여울역 인근~도곡역 인근~구룡초등학교 인근~양재시민의숲역 인근~양재1동주민센터 인근,서초구와 강남구를 거쳐 한강으로 흘러 들어가는 준용하천으로 인근 주민들의 운동과 산책공간으로 사랑받고 있다,,,,,
여의천,강남권,5.69Km,2시간,초급,양재시민의숲 인근~세원마을 인근~청룡경로당회관 인근~넘말골 인근,"탄천, 양재시민의숲과 같이 있어 이용하는 사람들이 많다. 하지만 상류는 정비가 되어 있지 않다",,,,,
영등포동작구한강길,강남권,21.1Km,8시간,초급,나이아가라관광호텔 인근~선유도 인근~KBS견학홀 인근~여의나루역수상택시 인근~대방역 인근~노들섬 인근~국립현충원 인근,"공원조성이 잘되어있고, 인근 주거지역이 많아 주민들이 산책하는 길로 많이 이용한다. 관련 테이블 입니다.",,,,,
용산한강길,강북권,8.45Km,3시간,초급,마포대교 원효대교 인근~한강시민공원 이촌지구 인근~동작대교 인근~서빙고역 반포대교 인근~한남역 인근,한강시민공원 이촌지구를 따라 걷는 한강 수변 길로 넓게 펼쳐진 한강과 아름다운 공원에  지루할 틈 없는 코스,,,,,
우이천길,강북권,7.94Km,2시간,초급,서울선곡초등학교 인근~롯데캐슬루나아파트 인근~번2동주민센터 인근~우이제3교 인근~창동태영데시앙아파트 인근~강북중학교 인근~우암빌라 인근,우이천을 따라 난 길로 도봉구 창제동에서 노원구 월계동에 이르는 폭10~15m의 보조간선급 소로임,,,,,
정릉천길,강북권,3.57Km,1시간,초급,제기로9길 인근~고산자로58길 인근~코업스타클래스 인근,성북구 정릉동 삼각산 계곡에서 발원하여 동대문구 신설동과 용두동 사이를 통과 청계천으로 흘러 들어가 다시 중랑천과 한강으로 합류,,,,,
중랑천길,강북권,20.74Km,6시간,초급,도봉주공1단지 인근~성균관대도봉선수촌 인근~방학동삼성래미안아파트 인근~창동주공19단지아파트 인근~초안산근린공원 인근~월계삼호4차아파트 인근~두산아파트 석계초등학교 인근~일신강변아파트 인근~동국대사대부속중학교 인근~현대홈타운아파트 인근~성동세무서 인근~응봉역 인근,경기도 양주시에서 발원하여 의정부를 지나 남류하여 한강으로 흘러드는 하천을 따라 산책로로 이용,,,,,
청계천길,강북권,8.13Km,2시간,초급,청계광장 인근~청계2가 인근~청계3가 인근~방산종합상가A동 인근~청평화시장 인근~롯데캐슬 베네치아 아파트 인근,서울의 한복판인 종로구와 중구와의 경계를 잇는 하천으로 다양한 행사와 공연이 펼쳐짐,,,,,
탄천길,강남권,7.14Km,2시간,초급,송파자원순환공원 인근~서울메트로 수서차량사업소 인근~강남주민 편의시설 인근~잠실 우성아파트 인근~잠실종합운동장 인근,송파와 강남 사이에 흐르는 한강 지류로 다양한 운동기구와 정돈된 산책코스 조성으로 인근주민들이 자주 이용한다,,,,,
홍제천길,강북권,7.81Km,2시간,초급,옥천암 인근~포방교 인근~홍제사거리 인근~폭포마당 인근~홍연2교 인근~궁동공원 인근~서울중동초등학교 인근~마포구청 인근~망원유수지체육공원 인근,도심에서 만난 홍제천이 한강에 닿을 때 까지 함께 걷는 길,,,,,
